,dropoff_site,load_time,load_type,load_weight,dropoff_site_new,load_type_new
360376,HORNSBY BEND,2017-01-03 10:45:00,YARD TRIMMING,13220,3,3
339410,TDS - MRF,2017-01-03 10:45:00,RECYCLING - SINGLE STREAM,6920,4,2
298547,TDS - MRF,2017-01-03 10:49:00,RECYCLING - SINGLE STREAM,12880,4,2
110070,TDS LANDFILL,2017-01-03 10:49:00,GARBAGE COLLECTIONS,14020,1,1
543993,TDS LANDFILL,2017-01-03 10:50:00,GARBAGE COLLECTIONS,6380,1,1
384768,HORNSBY BEND,2017-01-03 10:57:00,YARD TRIMMING,14580,3,3
337169,TDS - MRF,2017-01-03 11:00:00,RECYCLING - SINGLE STREAM,13920,4,2
105509,TDS - MRF,2017-01-03 11:01:00,RECYCLING - SINGLE STREAM,12840,4,2
515707,HORNSBY BEND,2017-01-03 11:06:00,YARD TRIMMING,12260,3,3
335574,TDS - MRF,2017-01-03 11:12:00,RECYCLING - SINGLE STREAM,12180,4,2
66628,TDS - MRF,2017-01-03 11:13:00,RECYCLING - SINGLE STREAM,10380,4,2
254291,TDS - MRF,2017-01-03 11:13:00,RECYCLING - SINGLE STREAM,11960,4,2
188279,TDS LANDFILL,2017-01-03 11:13:00,GARBAGE COLLECTIONS,10620,1,1
378459,TDS LANDFILL,2017-01-03 11:15:00,GARBAGE COLLECTIONS,4500,1,1
20251,BALCONES RECYCLING,2017-01-03 11:19:00,RECYCLING - SINGLE STREAM,1920,2,2
89082,HORNSBY BEND,2017-01-03 11:21:00,BRUSH,6060,3,6
205555,TDS LANDFILL,2017-01-03 11:24:00,GARBAGE COLLECTIONS,6780,1,1
218851,TDS - MRF,2017-01-03 11:26:00,RECYCLING - SINGLE STREAM,6020,4,2
473142,TDS LANDFILL,2017-01-03 11:26:00,GARBAGE COLLECTIONS,22000,1,1
329972,TDS LANDFILL,2017-01-03 11:27:00,GARBAGE COLLECTIONS,15700,1,1
46311,TDS LANDFILL,2017-01-03 11:29:00,GARBAGE COLLECTIONS,20340,1,1
445275,HORNSBY BEND,2017-01-03 11:30:00,YARD TRIMMING,13760,3,3
294376,TDS LANDFILL,2017-01-03 11:30:00,GARBAGE COLLECTIONS,16400,1,1
380913,TDS - MRF,2017-01-03 11:32:00,RECYCLING - SINGLE STREAM,12040,4,2
196541,TDS LANDFILL,2017-01-03 11:34:00,GARBAGE COLLECTIONS,17100,1,1
108309,TDS LANDFILL,2017-01-03 11:35:00,GARBAGE COLLECTIONS,12640,1,1
355460,TDS LANDFILL,2017-01-03 11:35:00,GARBAGE COLLECTIONS,22100,1,1
480786,HORNSBY BEND,2017-01-03 11:43:00,YARD TRIMMING,14600,3,3
31006,HORNSBY BEND,2017-01-03 11:45:00,YARD TRIMMING,11500,3,3
128989,HORNSBY BEND,2017-01-03 11:45:00,YARD TRIMMING,5040,3,3
203758,TDS - MRF,2017-01-03 11:45:00,RECYCLING - SINGLE STREAM,14040,4,2
175227,TDS LANDFILL,2017-01-03 11:47:00,GARBAGE COLLECTIONS,6860,1,1
494982,TDS LANDFILL,2017-01-03 11:51:00,GARBAGE COLLECTIONS,17360,1,1
257140,TDS LANDFILL,2017-01-03 11:52:00,GARBAGE COLLECTIONS,19200,1,1
252978,TDS - MRF,2017-01-03 11:58:00,RECYCLING - SINGLE STREAM,12280,4,2
403916,TDS LANDFILL,2017-01-03 11:59:00,SWEEPING,10000,1,4
346598,TDS LANDFILL,2017-01-03 12:09:00,GARBAGE COLLECTIONS,7400,1,1
168218,TDS LANDFILL,2017-01-03 12:09:00,GARBAGE COLLECTIONS,26540,1,1
375198,ONION CREEK,2017-01-03 12:10:00,SWEEPING,0,5,4
167336,TDS LANDFILL,2017-01-03 12:10:00,GARBAGE COLLECTIONS,19720,1,1
31278,TDS LANDFILL,2017-01-03 12:11:00,GARBAGE COLLECTIONS,20360,1,1
370628,TDS LANDFILL,2017-01-03 12:17:00,GARBAGE COLLECTIONS,23260,1,1
326296,ORGANICS BY GOSH,2017-01-03 12:20:00,YARD TRIMMING,16140,8,3
145442,ONION CREEK,2017-01-03 12:20:00,SWEEPING,0,5,4
147532,HORNSBY BEND,2017-01-03 12:21:00,YARD TRIMMING,6820,3,3
437628,HORNSBY BEND,2017-01-03 12:23:00,YARD TRIMMING,10300,3,3
321451,HORNSBY BEND,2017-01-03 12:23:00,YARD TRIMMING,15360,3,3
83496,TDS LANDFILL,2017-01-03 12:24:00,GARBAGE COLLECTIONS,8200,1,1
213643,HORNSBY BEND,2017-01-03 12:27:00,YARD TRIMMING,13380,3,3
136348,HORNSBY BEND,2017-01-03 12:29:00,YARD TRIMMING,16220,3,3
478568,TDS - MRF,2017-01-03 12:30:00,RECYCLING - SINGLE STREAM,12400,4,2
16819,ONION CREEK,2017-01-03 12:35:00,SWEEPING,0,5,4
384495,TDS LANDFILL,2017-01-03 12:36:00,GARBAGE COLLECTIONS,19260,1,1
370409,TDS LANDFILL,2017-01-03 12:36:00,GARBAGE COLLECTIONS,24120,1,1
181890,TDS LANDFILL,2017-01-03 12:39:00,GARBAGE COLLECTIONS,9200,1,1
522778,TDS LANDFILL,2017-01-03 12:39:00,GARBAGE COLLECTIONS,19020,1,1
